rank,sjis_code,lead,trail
348,0xECE0,0xEC,0xE0
349,0xECE1,0xEC,0xE1
350,0xECE2,0xEC,0xE2
351,0xECE3,0xEC,0xE3
352,0xECE4,0xEC,0xE4
353,0xECE5,0xEC,0xE5
354,0xECE6,0xEC,0xE6
355,0xECE7,0xEC,0xE7
356,0xECE8,0xEC,0xE8
357,0xECE9,0xEC,0xE9
358,0xECEA,0xEC,0xEA
359,0xECEB,0xEC,0xEB
360,0xECEC,0xEC,0xEC
361,0xECED,0xEC,0xED
362,0xECEE,0xEC,0xEE
363,0xECEF,0xEC,0xEF
364,0xECF0,0xEC,0xF0
365,0xECF1,0xEC,0xF1
366,0xECF2,0xEC,0xF2
367,0xECF3,0xEC,0xF3
368,0xECF4,0xEC,0xF4
369,0xECF5,0xEC,0xF5
370,0xECF6,0xEC,0xF6
371,0xECF7,0xEC,0xF7
372,0xECF8,0xEC,0xF8
373,0xECF9,0xEC,0xF9
374,0xECFA,0xEC,0xFA
375,0xECFB,0xEC,0xFB
376,0xECFC,0xEC,0xFC
377,0xED40,0xED,0x40
378,0xED41,0xED,0x41
379,0xED42,0xED,0x42
380,0xED43,0xED,0x43
381,0xED44,0xED,0x44
382,0xED45,0xED,0x45
383,0xED46,0xED,0x46
384,0xED47,0xED,0x47
385,0xED48,0xED,0x48
386,0xED49,0xED,0x49
387,0xED4A,0xED,0x4A
388,0xED4B,0xED,0x4B
389,0xED4C,0xED,0x4C
390,0xED4D,0xED,0x4D
391,0xED4E,0xED,0x4E
392,0xED4F,0xED,0x4F
393,0xED50,0xED,0x50
394,0xED51,0xED,0x51
395,0xED52,0xED,0x52
396,0xED53,0xED,0x53
397,0xED54,0xED,0x54
398,0xED55,0xED,0x55
399,0xED56,0xED,0x56
400,0xED57,0xED,0x57
401,0xED58,0xED,0x58
402,0xED59,0xED,0x59
403,0xED5A,0xED,0x5A
404,0xED5B,0xED,0x5B
405,0xED5C,0xED,0x5C
406,0xED5D,0xED,0x5D
407,0xED5E,0xED,0x5E
408,0xED5F,0xED,0x5F
409,0xED60,0xED,0x60
410,0xED61,0xED,0x61
411,0xED62,0xED,0x62
412,0xED63,0xED,0x63
413,0xED64,0xED,0x64
414,0xED65,0xED,0x65
415,0xED66,0xED,0x66
416,0xED67,0xED,0x67
417,0xED68,0xED,0x68
418,0xED69,0xED,0x69
419,0xED6A,0xED,0x6A
420,0xED6B,0xED,0x6B
421,0xED6C,0xED,0x6C
422,0xED6D,0xED,0x6D
423,0xED6E,0xED,0x6E
424,0xED6F,0xED,0x6F
425,0xED70,0xED,0x70
426,0xED71,0xED,0x71
427,0xED72,0xED,0x72
428,0xED73,0xED,0x73
429,0xED74,0xED,0x74
430,0xED75,0xED,0x75
431,0xED76,0xED,0x76
432,0xED77,0xED,0x77
433,0xED78,0xED,0x78
434,0xED79,0xED,0x79
435,0xED7A,0xED,0x7A
436,0xED7B,0xED,0x7B
437,0xED7C,0xED,0x7C
438,0xED7D,0xED,0x7D
439,0xED7E,0xED,0x7E
440,0xED80,0xED,0x80
441,0xED81,0xED,0x81
442,0xED82,0xED,0x82
443,0xED83,0xED,0x83
444,0xED84,0xED,0x84
445,0xED85,0xED,0x85
446,0xED86,0xED,0x86
447,0xED87,0xED,0x87
448,0xED88,0xED,0x88
449,0xED89,0xED,0x89
450,0xED8A,0xED,0x8A
451,0xED8B,0xED,0x8B
452,0xED8C,0xED,0x8C
453,0xED8D,0xED,0x8D
454,0xED8E,0xED,0x8E
455,0xED8F,0xED,0x8F
456,0xED90,0xED,0x90
457,0xED91,0xED,0x91
458,0xED92,0xED,0x92
459,0xED93,0xED,0x93
460,0xED94,0xED,0x94
461,0xED95,0xED,0x95
462,0xED96,0xED,0x96
463,0xED97,0xED,0x97
464,0xED98,0xED,0x98
465,0xED99,0xED,0x99
466,0xED9A,0xED,0x9A
467,0xED9B,0xED,0x9B
468,0xED9C,0xED,0x9C
469,0xED9D,0xED,0x9D
470,0xED9E,0xED,0x9E
471,0xED9F,0xED,0x9F
472,0xEDA0,0xED,0xA0
473,0xEDA1,0xED,0xA1
474,0xEDA2,0xED,0xA2
475,0xEDA3,0xED,0xA3
476,0xEDA4,0xED,0xA4
477,0xEDA5,0xED,0xA5
478,0xEDA6,0xED,0xA6
479,0xEDA7,0xED,0xA7
480,0xEDA8,0xED,0xA8
481,0xEDA9,0xED,0xA9
482,0xEDAA,0xED,0xAA
483,0xEDAB,0xED,0xAB
484,0xEDAC,0xED,0xAC
485,0xEDAD,0xED,0xAD
486,0xEDAE,0xED,0xAE
487,0xEDAF,0xED,0xAF
488,0xEDB0,0xED,0xB0
489,0xEDB1,0xED,0xB1
490,0xEDB2,0xED,0xB2
491,0xEDB3,0xED,0xB3
492,0xEDB4,0xED,0xB4
493,0xEDB5,0xED,0xB5
494,0xEDB6,0xED,0xB6
495,0xEDB7,0xED,0xB7
496,0xEDB8,0xED,0xB8
497,0xEDB9,0xED,0xB9
498,0xEDBA,0xED,0xBA
499,0xEDBB,0xED,0xBB
500,0xEDBC,0xED,0xBC
501,0xEDBD,0xED,0xBD
502,0xEDBE,0xED,0xBE
503,0xEDBF,0xED,0xBF
504,0xEDC0,0xED,0xC0
505,0xEDC1,0xED,0xC1
506,0xEDC2,0xED,0xC2
507,0xEDC3,0xED,0xC3
508,0xEDC4,0xED,0xC4
509,0xEDC5,0xED,0xC5
510,0xEDC6,0xED,0xC6
511,0xEDC7,0xED,0xC7
512,0xEDC8,0xED,0xC8
